,loss,TP_Score,false_positives,true_negatives,false_negatives,AUC_PR,recall,precision,val_loss,val_TP_Score,val_false_positives,val_true_negatives,val_false_negatives,val_AUC_PR,val_recall,val_precision
0,0.47437623143196106,6970.0,152819.0,806993.0,2615.0,0.022592786699533463,0.7271778583526611,0.043620023876428604,0.25361335277557373,2405.0,24539.0,295402.0,787.0,0.05219355598092079,0.753446102142334,0.08925920724868774
1,0.2449667900800705,8536.0,88714.0,871098.0,1049.0,0.05303329974412918,0.8905581831932068,0.08777377754449844,0.09864367544651031,2745.0,8476.0,311465.0,447.0,0.13685394823551178,0.8599624037742615,0.2446306049823761
2,0.16209954023361206,8933.0,65920.0,893892.0,652.0,0.07340884953737259,0.9319770336151123,0.11934057623147964,0.11277349293231964,2960.0,11152.0,308789.0,232.0,0.11756540834903717,0.927318274974823,0.20975056290626526
3,0.11538702249526978,9184.0,47150.0,912662.0,401.0,0.11250641196966171,0.9581637978553772,0.16302765905857086,0.07255462557077408,3103.0,9173.0,310768.0,89.0,0.18712005019187927,0.9721177816390991,0.2527696192264557
4,0.086430624127388,9358.0,33156.0,926656.0,227.0,0.17153175175189972,0.9763171672821045,0.22011572122573853,0.11278555542230606,3157.0,13057.0,306884.0,35.0,0.15931691229343414,0.9890350699424744,0.19470827281475067
5,0.07452430576086044,9405.0,27472.0,932340.0,180.0,0.20182634890079498,0.9812206625938416,0.25503700971603394,0.10108375549316406,3157.0,11468.0,308473.0,35.0,0.17479784786701202,0.9890350699424744,0.21586324274539948
6,0.06790294498205185,9422.0,24741.0,935071.0,163.0,0.22062456607818604,0.9829942584037781,0.27579545974731445,0.06745635718107224,3106.0,8594.0,311347.0,86.0,0.20421737432479858,0.9730576276779175,0.26547008752822876
7,0.06102858483791351,9418.0,21856.0,937956.0,167.0,0.2406417727470398,0.9825769662857056,0.30114471912384033,0.06275643408298492,3149.0,8279.0,311662.0,43.0,0.20555056631565094,0.9865288138389587,0.27555128931999207
8,0.058093294501304626,9436.0,20454.0,939358.0,149.0,0.2545742988586426,0.984454870223999,0.31569087505340576,0.04846097156405449,3124.0,5055.0,314886.0,68.0,0.30568641424179077,0.9786967635154724,0.38195377588272095
9,0.057793550193309784,9440.0,20208.0,939604.0,145.0,0.2570396363735199,0.9848722219467163,0.31840258836746216,0.047055307775735855,3153.0,6277.0,313664.0,39.0,0.264443963766098,0.9877819418907166,0.33435842394828796
10,0.05515148863196373,9452.0,19985.0,939827.0,133.0,0.25933530926704407,0.9861241579055786,0.32109251618385315,0.07080597430467606,3150.0,6411.0,313530.0,42.0,0.27922508120536804,0.9868420958518982,0.3294634521007538
11,0.05250321328639984,9445.0,18416.0,941396.0,140.0,0.2722648084163666,0.9853938221931458,0.3390043377876282,0.04364338517189026,3133.0,5057.0,314884.0,59.0,0.3171854615211487,0.9815163016319275,0.38253968954086304
12,0.05308355763554573,9454.0,18705.0,941107.0,131.0,0.2725326716899872,0.9863328337669373,0.33573636412620544,0.04547123983502388,3147.0,5055.0,314886.0,45.0,0.3169240653514862,0.9859022498130798,0.383686900138855
13,0.04975556582212448,9449.0,17689.0,942123.0,136.0,0.2817871868610382,0.985811173915863,0.34818336367607117,0.061845265328884125,3152.0,7355.0,312586.0,40.0,0.23469939827919006,0.9874686598777771,0.2999904751777649
14,0.04912519082427025,9449.0,18063.0,941749.0,136.0,0.27576321363449097,0.985811173915863,0.343450129032135,0.046509601175785065,3140.0,5481.0,314460.0,52.0,0.2962903082370758,0.9837092757225037,0.3642268776893616
15,0.04581904411315918,9453.0,16646.0,943166.0,132.0,0.29106107354164124,0.9862284660339355,0.36219778656959534,0.07066474854946136,3157.0,6425.0,313516.0,35.0,0.2853766679763794,0.9890350699424744,0.3294719159603119
16,0.04710858687758446,9457.0,16208.0,943604.0,128.0,0.29761675000190735,0.9866458177566528,0.3684784770011902,0.05493936687707901,3153.0,5560.0,314381.0,39.0,0.3096662163734436,0.9877819418907166,0.361873060464859
17,0.044258665293455124,9468.0,15829.0,943983.0,117.0,0.3072662353515625,0.9877934455871582,0.3742736279964447,0.031092826277017593,3125.0,3162.0,316779.0,67.0,0.4352203607559204,0.9790100455284119,0.49705740809440613
18,0.045437589287757874,9460.0,16677.0,943135.0,125.0,0.29537028074264526,0.9869588017463684,0.361939013004303,0.04980524256825447,3147.0,4575.0,315366.0,45.0,0.32274895906448364,0.9859022498130798,0.40753689408302307
19,0.042046867311000824,9466.0,15118.0,944694.0,119.0,0.31573212146759033,0.9875847697257996,0.38504719734191895,0.048317939043045044,3141.0,4922.0,315019.0,51.0,0.3292461037635803,0.9840225577354431,0.38955724239349365
20,0.04197056218981743,9473.0,15825.0,943987.0,112.0,0.3083961009979248,0.9883151054382324,0.3744564652442932,0.03784490004181862,3143.0,4311.0,315630.0,49.0,0.3537135720252991,0.984649121761322,0.42165279388427734
21,0.0420050173997879,9476.0,15502.0,944310.0,109.0,0.31256726384162903,0.988628089427948,0.37937384843826294,0.03724781051278114,3136.0,4112.0,315829.0,56.0,0.36006590723991394,0.9824561476707458,0.43267107009887695
22,0.04227343201637268,9468.0,15607.0,944205.0,117.0,0.30880850553512573,0.9877934455871582,0.377587229013443,0.04416012018918991,3154.0,5061.0,314880.0,38.0,0.31579315662384033,0.988095223903656,0.38393184542655945
23,0.03813919052481651,9479.0,14538.0,945274.0,106.0,0.3269840478897095,0.9889410734176636,0.3946787714958191,0.04084361344575882,3150.0,4402.0,315539.0,42.0,0.3365115821361542,0.9868420958518982,0.41710805892944336
